Reported Date,Total Dead and Missing,Location Coordinates
"October 07, 2019",28,"35.210549549164, 12.180541076066"
"October 06, 2019",1,"25.900890221875, -97.525930965196"
"October 04, 2019",1,"36.778630672371, -2.499724435320"
"October 04, 2019",1,"26.396783686456, -99.078156497984"
"October 03, 2019",1,"17.887207400000, -95.138674200000"
"October 03, 2019",1,"27.435807331497, -99.495251713848"
"October 02, 2019",1,"28.025147800000, -99.548918700000"
"October 01, 2019",2,"45.158752305501, 19.339737369364"
"September 30, 2019",1,"33.369970400000, -7.585723100000"
"September 29, 2019",1,"28.738417958720, -100.507007749200"
"September 28, 2019",1,"35.980436749635, -0.492110075391"
"September 28, 2019",53,"33.650995541550, -7.494747852482"
"September 28, 2019",1,"26.076436013840, -98.232415824346"
"September 27, 2019",7,"38.519212404679, 26.320742344141"
"September 27, 2019",1,"36.574984368876, 1.298778125781"
"September 27, 2019",1,"27.263884114760, -99.455439943894"
"September 26, 2019",7,"38.245239670844, -0.299798048828"
"September 25, 2019",2,"36.735605101366, 1.667305168400"
"September 25, 2019",1,"32.910341135368, 13.241253602079"
"September 25, 2019",1,"27.120335346567, -98.090651851496"
"September 25, 2019",1,"27.159316849220, -98.202154891570"
"September 24, 2019",6,"36.241342360494, 36.574383137850"
"September 24, 2019",1,"37.253252681247, -0.705211109395"
"September 23, 2019",1,"25.875635516654, -97.473025612357"
"September 22, 2019",2,"28.482962436929, -99.919967482585"
"September 21, 2019",1,"26.394748604205, -98.955283123743"
"September 20, 2019",1,"36.973557207271, 27.403074179688"
"September 20, 2019",1,"26.244371396482, -98.557419014857"
"September 20, 2019",1,"28.707751107681, -100.511400588450"
"September 19, 2019",1,"41.579840271918, 21.945251077734"
"September 19, 2019",1,"32.909021015328, 13.220013560791"
"September 18, 2019",4,"34.171158953801, 11.255912929033"
"September 18, 2019",13,"36.983728473300, 3.638158139063"
"September 18, 2019",1,"35.320439624103, -2.948396982617"
"September 17, 2019",1,"18.509727048315, -97.409583062974"
"September 17, 2019",1,"28.727462890595, -100.507922294930"
"September 17, 2019",1,"31.753616299345, -106.417258984670"
"September 17, 2019",3,"36.042293320857, -0.509071856820"
"September 17, 2019",7,"34.589760230843, 10.937168074215"
"September 17, 2019",1,"35.247147751476, -3.164730754659"
"September 16, 2019",1,"26.066558587779, -98.076219015077"
"September 14, 2019",3,"18.513426343887, -67.150985613449"
"September 14, 2019",2,"28.727691607932, -100.508059818540"
"September 14, 2019",1,"26.962501412677, -98.293211366797"
"September 13, 2019",4,"37.949458912014, 11.983127132731"
"September 13, 2019",1,"26.975419020731, -98.236322802092"
"September 13, 2019",1,"26.932000971238, -98.226225375945"
"September 12, 2019",1,"31.654940500000, -112.088417200000"
"September 12, 2019",1,"41.094866935213, 25.406005057255"
"September 11, 2019",2,"29.326039842099, -100.919307459890"
"September 09, 2019",1,"41.686784185245, 26.437765783120"
"September 07, 2019",1,"45.079408592493, 6.700213388391"
"September 07, 2019",1,"35.204391764075, -2.925109863281"
"September 06, 2019",1,"29.424121900000, -98.493628200000"
"September 06, 2019",1,"37.754785700000, 26.977770100000"
"September 05, 2019",1,"26.095001305916, -98.273011631016"
"September 05, 2019",4,"35.837725415025, -3.356083848156"
"September 04, 2019",1,"28.719389776553, -100.507124167020"
"September 03, 2019",15,"36.592468317565, -1.720397814063"
"September 03, 2019",1,"21.191071718689, 92.183833394287"
"September 02, 2019",1,"19.314037774345, -98.190767327239"
"September 02, 2019",1,"40.825420088134, 26.292042608479"
"September 01, 2019",1,"35.893350500000, -5.320966600000"
"September 01, 2019",11,"24.404460353983, -0.316673172573"
"September 01, 2019",1,"31.751634695944, -106.492510924610"
"August 31, 2019",1,"31.545539900000, -111.307293900000"
"August 29, 2019",23,"24.781866727395, -16.246628178823"
"August 28, 2019",1,"28.720081977572, -100.508130855280"
"August 28, 2019",7,"34.074975531751, 14.804481898594"
"August 28, 2019",1,"28.411651400000, -99.812493500000"
"August 28, 2019",1,"-0.145943800000, -78.445259200000"
"August 27, 2019",40,"33.186025070051, 14.631463370694"
"August 27, 2019",1,"19.616203300000, -99.300118100000"
"August 27, 2019",1,"31.969853700000, -111.427588800000"
"August 27, 2019",1,"34.794857389741, 11.066638902114"
"August 26, 2019",6,"40.862794800000, 26.033687200000"
"August 26, 2019",1,"31.586669000000, -111.753637200000"
"August 25, 2019",1,"45.482029519751, 16.004001166565"
"August 24, 2019",1,"28.411651400000, -99.812493500000"
"August 24, 2019",1,"26.166658691056, -98.337147645366"
"August 24, 2019",1,"26.869714700000, -97.698227200000"
"August 24, 2019",1,"32.340439000000, -111.778268200000"
"August 23, 2019",1,"27.596688407404, -99.537284533452"
"August 23, 2019",1,"28.693672861798, -100.510521797740"
"August 23, 2019",1,"41.502661204569, 22.090889878296"
"August 23, 2019",1,"31.605656100000, -111.522981700000"
"August 22, 2019",1,"26.226310823479, -98.516633818581"
"August 22, 2019",4,"36.155426016789, -5.296389510909"
