Reported Date,Total Dead and Missing,Location Coordinates
"January 02, 2023",1,"37.69253013, 26.99162098"
"January 02, 2023",1,"37.69253013, 26.99162098"
"January 02, 2023",1,"37.69253013, 26.99162098"
"January 02, 2023",2,"37.69253013, 26.99162098"
"January 01, 2023",1,"40.95496299, 25.65250242"
"January 03, 2023",1,"32.79178513, 12.679369"
"January 05, 2023",1,"43.31568829, 21.91337329"
"January 04, 2023",1,"45.0324623, -73.518841"
"January 06, 2023",15,"35.04940045, 11.060647"
"January 02, 2023",1,"32.84183165, 13.691316"
"January 06, 2023",1,"35.20457948, 12.034621"
"January 06, 2023",2,"35.20457948, 12.034621"
"January 07, 2023",2,"38.65706324, 43.9772"
"January 10, 2023",1,"56.09099932, 27.94638"
"January 10, 2023",1,"56.09099932, 27.94638"
"January 09, 2023",1,"43.78517187, 7.517308"
"January 10, 2023",1,"30.95437014, 20.111182"
"January 11, 2023",1,"32.35375915, 20.308533"
"January 12, 2023",1,"32.35375915, 20.308533"
"January 12, 2023",1,"32.7937413, 12.617398"
"January 05, 2023",1,"27.52455119, -99.525565"
"January 09, 2023",1,"28.66773682, -100.503332"
"January 07, 2023",1,"52.68455073, 23.79601"
"January 13, 2023",1,"30.41107053, 19.570172"
"January 14, 2023",2,"16.102837, -22.669137"
"January 02, 2023",1,"28.714334, -100.455678"
"January 17, 2023",1,"37.422571, 34.876721"
"January 16, 2023",1,"30.95437014, 20.111182"
"January 16, 2023",1,"30.35064393, 19.448942"
"January 18, 2023",1,"37.032764, 27.435176"
"January 02, 2023",2,"24.429539, -82.211683"
"January 03, 2023",25,"23.046759, -80.925969"
"January 12, 2023",1,"28.661091, -100.54084"
"January 09, 2023",1,"31.736812, -106.509618"
"January 11, 2023",10,"22.51442, -79.453847"
"January 14, 2023",4,"19.660697, -71.734428"
"January 18, 2023",1,"34.61342591, 36.318928"
"January 25, 2023",3,"35.89431032, -5.312755"
"January 17, 2023",1,"27.495627, -99.516229"
"January 16, 2023",1,"28.701532, -100.529216"
"January 10, 2023",13,"19.139006, -69.638542"
"January 17, 2023",26,"12.647071, -82.891503"
"January 19, 2023",1,"29.347032, -100.867173"
"January 23, 2023",1,"28.702423, -100.516284"
"January 23, 2023",2,"25.688443, -100.314975"
"January 25, 2023",4,"33.578333, 14.041667"
"January 23, 2023",15,"23.269464, -80.880242"
"January 29, 2023",13,"35.051199, 10.999545"
"January 19, 2023",1,"51.762542, 23.594236"
"January 12, 2023",1,"52.096721, 23.593233"
"January 13, 2023",1,"52.096721, 23.593233"
"January 24, 2023",1,"32.902656, 13.737635"
"January 24, 2023",2,"32.902656, 13.737635"
"January 24, 2023",2,"32.902656, 13.737635"
"January 10, 2023",1,"34.521539, -1.842868"
"January 21, 2023",1,"31.822385, -7.054132"
"January 26, 2023",1,"35.269076, -2.934889"
"January 31, 2023",1,"38.713538, 23.752337"
"January 31, 2023",1,"52.67688, 23.884845"
"January 23, 2023",1,"28.538407, -99.852031"
