"Main ID","Incident ID",Region,"Incident Date",Year,"Reported Month","Number Dead","Minimum Estimated Number of Missing","Total Number of Dead and Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Region of Origin","Cause of Death","Country of Origin","Location of death","Information Source",Coordinates,"Migration route",URL,"UNSD Geographical Grouping","Source Quality"
2023.MMP0001,2023.MMP00012,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,1,1,,1,,1,Caribbean,Drowning,Haiti,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","IOM Türkiye","37.69253013, 26.99162098","Eastern Mediterranean",,Uncategorized,4
2023.MMP0001,2023.MMP00013,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,1,1,,1,,,"Middle Africa",Drowning,"Democratic Republic of the Congo","During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","IOM Türkiye","37.69253013, 26.99162098","Eastern Mediterranean",,Uncategorized,4
2023.MMP0001,2023.MMP00014,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,1,1,,,1,,"Western Africa",Drowning,Mali,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","IOM Türkiye","37.69253013, 26.99162098","Eastern Mediterranean",,Uncategorized,4
2023.MMP0001,2023.MMP00015,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,,2,2,38,,2,,"Western Asia (P)",Drowning,Unknown,"During pushback at unidentified location near Samos, Greece. Survivors rescued by Turkish Coast Guard","IOM Türkiye","37.69253013, 26.99162098","Eastern Mediterranean",,Uncategorized,4
2023.MMP0002,2023.MMP0002,Europe,"Sun, 01/01/2023 - 12:00",2023,January,1,,1,15,,,,Unknown,"Vehicle accident / death linked to hazardous transport",Unknown,"Egnatia Highway between Alexandroupolis and Komotini, Greece","Ekathimerini, Amna Greece, Infomigrants","40.95496299, 25.65250242",,"https://archive.ph/IBpVf, https://archive.ph/asx9C","Southern Europe",3
2023.MMP0003,2023.MMP0003,Mediterranean,"Tue, 01/03/2023 - 12:00",2023,January,1,,1,,,1,,Unknown,Drowning,Unknown,"Remains washed ashore near Misfat Al Zawiyah DP, Al Zawiyah, Libya","IOM Libya","32.79178513, 12.679369","Central Mediterranean",,Uncategorized,4
2023.MMP0004,2023.MMP0004,Europe,"Thu, 01/05/2023 - 12:00",2023,January,1,,1,,,1,,"Southern Asia","Sickness / lack of access to adequate healthcare",Afghanistan,"Died in Nis clinical centre, Serbia after arriving in RC Presevo with respiratory illness presumably contracted during/exacerbated by journey","IOM Serbia","43.31568829, 21.91337329","Western Balkans",,"Southern Europe",4
2023.MMP0005,2023.MMP0005,"North America","Wed, 01/04/2023 - 12:00",2023,January,1,,1,,,,,Caribbean,"Harsh environmental conditions / lack of adequate shelter, food, water",Haiti,"East of Roxham Road, 271 rang, Chem. Roxham, Saint-Bernard-de-Lacolle, QC J0J 1V0, Canadá","CBC, Vant Bèf Info (VBI)","45.0324623, -73.518841",,"https://archive.vn/Pu6T1, https://archive.vn/eizJx","Northern America",3
2023.MMP0006,2023.MMP0006,Mediterranean,"Fri, 01/06/2023 - 12:00",2023,January,5,10,15,20,,,,"Sub-Saharan Africa",Drowning,Unknown,"Off the coast of La Laouata, Sfax, Tunisia","Reuters, Diwan FM","35.04940045, 11.060647","Central Mediterranean","https://archive.vn/lxFSc, https://archive.vn/1HlbV",Uncategorized,3
2023.MMP0007,2023.MMP0007,Mediterranean,"Mon, 01/02/2023 - 12:00",2023,January,1,,1,176,,1,,"Western Africa","Accidental death",Gambia,"Off Garabulli (Castelverde), Libya - embarkation from Garabulli on 1 Jan 21:00 and disembarkation at Tripoli port","IOM Libya, Foroyaa","32.84183165, 13.691316","Central Mediterranean",https://archive.ph/NqgVc#selection-2043.34-2043.49,Uncategorized,4
